date,Name,uint32__upTime
2024-01-05 14:03:37.840485,OBC_0,62.0
2024-01-05 14:03:47.407988,OBC_0,62.0
2024-01-05 14:03:47.735082,OBC_0,62.0
2024-01-05 14:03:50.603962,OBC_0,32.0
2024-01-05 14:03:50.911046,OBC_0,32.0
2024-01-05 14:03:53.757407,OBC_0,62.0
2024-01-05 14:03:54.087132,OBC_0,62.0
2024-01-08 14:03:56.357164,OBC_0,62.0
2024-01-08 14:03:56.998623,OBC_0,32.0
2024-01-08 14:03:58.920170,OBC_0,62.0
2024-01-08 14:03:59.873925,OBC_0,32.0
2024-01-08 14:04:01.786888,OBC_0,62.0
2024-01-16 14:04:04.359101,OBC_0,62.0
2024-01-16 14:04:04.995799,OBC_0,32.0
2024-01-16 14:04:07.011766,OBC_0,62.0
2024-01-16 14:04:07.966125,OBC_0,32.0
2024-01-16 14:04:09.850182,OBC_0,62.0
2024-01-16 14:04:54.066316,OBC_0,62.0
2024-01-16 14:04:54.375521,OBC_0,62.0
2024-01-16 14:05:07.255469,OBC_0,32.0
2024-01-16 14:05:07.564209,OBC_0,32.0
2024-01-16 14:05:09.142811,OBC_0,32.0
2024-01-16 14:05:09.441497,OBC_0,32.0
2024-01-16 14:05:12.326141,OBC_0,32.0
2024-01-16 14:05:12.663506,OBC_0,32.0
2024-01-16 14:05:17.750656,OBC_0,32.0
2024-01-16 14:05:18.082482,OBC_0,32.0
2024-01-16 14:05:18.400780,OBC_0,32.0
2024-01-16 14:05:23.406899,OBC_0,62.0
2024-01-16 14:05:23.737512,OBC_0,62.0
2024-01-16 14:05:24.056971,OBC_0,62.0
2024-01-16 14:05:25.299985,OBC_0,32.0
2024-01-16 14:05:25.638117,OBC_0,32.0
2024-01-16 14:05:25.935429,OBC_0,32.0
2024-01-16 14:05:31.009481,OBC_0,62.0
2024-01-16 14:05:31.318955,OBC_0,62.0
2024-01-22 14:05:32.961006,OBC_0,32.0
2024-01-22 14:05:33.923650,OBC_0,32.0
2024-01-22 14:05:35.253742,OBC_0,62.0
2024-01-22 14:05:36.254793,OBC_0,32.0
2024-01-22 14:05:37.519512,OBC_0,32.0
2024-01-22 14:05:37.854066,OBC_0,32.0
2024-01-22 14:05:40.692912,OBC_0,62.0
2024-01-22 14:05:41.004266,OBC_0,62.0
2024-01-22 14:05:43.532248,OBC_0,32.0
2024-01-22 14:05:43.866434,OBC_0,32.0
2024-01-22 14:05:44.196957,OBC_0,32.0
2024-01-23 14:06:17.126882,OBC_0,32.0
2024-01-24 14:06:18.109201,OBC_0,62.0
2024-01-25 14:06:18.835243,OBC_0,62.0
2024-01-25 14:06:19.482241,OBC_0,32.0
2024-01-25 14:06:21.403292,OBC_0,62.0
2024-01-25 14:06:22.361049,OBC_0,32.0
2024-01-25 14:06:24.254557,OBC_0,62.0
2024-01-25 14:07:08.799061,OBC_0,62.0
2024-01-25 14:07:09.115294,OBC_0,62.0
2024-01-26 14:07:16.678065,OBC_0,62.0
2024-01-26 14:07:17.317663,OBC_0,32.0
2024-01-26 14:07:19.238583,OBC_0,62.0
2024-01-26 14:07:20.203196,OBC_0,32.0
2024-01-26 14:07:22.131319,OBC_0,62.0
2024-01-26 14:08:06.853274,OBC_0,62.0
2024-01-26 14:08:07.188860,OBC_0,62.0
2024-01-26 14:08:20.306721,OBC_0,32.0
2024-01-26 14:08:20.636333,OBC_0,32.0
2024-01-26 14:08:22.297781,OBC_0,32.0
2024-01-26 14:08:22.622185,OBC_0,32.0
2024-01-26 14:08:26.035232,OBC_0,32.0
2024-01-26 14:08:26.403994,OBC_0,32.0
2024-01-26 14:08:32.593982,OBC_0,32.0
2024-01-26 14:08:32.910242,OBC_0,32.0
2024-01-26 14:08:33.234217,OBC_0,32.0
2024-01-26 14:08:38.901954,OBC_0,62.0
2024-01-26 14:08:39.393291,OBC_0,62.0
2024-01-26 14:08:40.020859,OBC_0,62.0
2024-01-26 14:08:42.092601,OBC_0,32.0
2024-01-26 14:08:42.541210,OBC_0,32.0
